cmt,vid,num,p_id,tk_id
,https://www.youtube.com/watch?v=6jxi8Tjv33E,18,5,5zWWdqa4BF8tjygCS8E3rO
,https://www.youtube.com/watch?v=ouR4nn1G9r4,19,5,1IdM9JrXYuMYiTdM983oH4
,https://www.youtube.com/watch?v=lDsJFiprilo,20,5,0g1AmSKokPboFrxmG1dxKx
,https://www.youtube.com/watch?v=ZeerrnuLi5E,0,6,1t2qYCAjUAoGfeFeoBlK51
,https://www.youtube.com/watch?v=pSudEWBAYRE,1,6,0yB4jrSwN0bFtFRDR5vyMj
,https://www.youtube.com/watch?v=cYXyzXBhecI,2,6,7pm5uhK7xiEM9fQvuCE78l
,https://www.youtube.com/watch?v=odBtcACwF0o,3,6,05G51ez5Z73NRE0l2QtZfH
,https://www.youtube.com/watch?v=HU7ndIT06Ys,4,6,548FKDwnyPFkfWmtoK6ETA
,https://www.youtube.com/watch?v=clr4ghJk_Bs,5,6,6Yj8kVuVR3UPxx9r5eFEoV
,https://www.youtube.com/watch?v=nFYwcndNuOY,6,6,5eWcGfUCrVFMoYskyfkEPE
,https://www.youtube.com/watch?v=HlN2BXNJzxA,7,6,1exnDFdC34GyBcaLt9ZJfX
,https://www.youtube.com/watch?v=2q3Yaz0MxNg,8,6,42tFTth2jcF7iSo0RBjfJF
,https://www.youtube.com/watch?v=iDjQSdN_ig8,9,6,4ljXOIFNSjnGA2VuCYHQTS
,https://www.youtube.com/watch?v=bUwHblpMX1M,10,6,7nKQ5WAcjnG48knyLuo8gO
,https://www.youtube.com/watch?v=EWxt0KtkHlY,0,7,5pCaf7SR1fPW95Ua1CrJYu
,https://www.youtube.com/watch?v=fBAGzCDntMM,1,7,6344mzqvYpXiLxl723UVyE
,https://www.youtube.com/watch?v=nvgT3kr-rj4,2,7,0DW7eEkraNLUv94eAaxn4v
,https://www.youtube.com/watch?v=a9eHvgCsng8,3,7,76P9PzvAk51CqtOeCIEGBQ
,https://www.youtube.com/watch?v=gh2B1RtJbXg,4,7,1IkdRtsgZCtWIekX8NrLdN
,https://www.youtube.com/watch?v=EHMF0xh_z3k,5,7,6R6FlagrCC7HuFZnapXO5o
,https://www.youtube.com/watch?v=hPFGRakaRuY,6,7,2EQaWLbkUcZ92sLKQsSeDv
,https://www.youtube.com/watch?v=QdVicDf3qbM,7,7,6ipZiTWO0fuhs8lul00e4w
,https://www.youtube.com/watch?v=nU-khJbkyk4,8,7,6vhjkSvhOxU5ZyUshIAPCY
,https://www.youtube.com/watch?v=-gc1moD2Y2w,9,7,1GztRvzpFWGhe00N3jv91q
,https://www.youtube.com/watch?v=ynQJ9otDE90,10,7,1w09YJ2UvJvCR4q0W44snv
,https://www.youtube.com/watch?v=t4J0rBzPh4s,11,7,7ujVDENgCDD77JxBuw4Mhu
,https://www.youtube.com/watch?v=kVpWes8MFm4,12,7,5hyHsOQUnWQMBPWX8KZuID
,https://www.youtube.com/watch?v=LXtYMZ4LZvc,13,7,3SYqmao3YLyGYzmvBJ7Bhe
,https://www.youtube.com/watch?v=wJqdwRSARWg,14,7,5EGIJVtcmlFdw21fTwGf3u
,https://www.youtube.com/watch?v=M5aEiDSx7kI,15,7,5ocSQW5sIUIOFojwXEz9Ki
,https://www.youtube.com/watch?v=zkvhVYJvErU,16,7,53svtkdl7Hl0RZgAuTgON8
,https://www.youtube.com/watch?v=SHAQlFq6TFg,17,7,6SaeXxdt0Id6ZzmX0ZGTQK
,https://www.youtube.com/watch?v=_EJUDRpvIs0,18,7,2Sv7RMNFfNofAOmA32mLA4
,https://www.youtube.com/watch?v=EqaVNi6SHZc,19,7,7G0bBRiFDs1sDsiRqzZbmT
,https://www.youtube.com/watch?v=x7n9kcxBiuw,20,7,4xw1SakICm1K8xgeLdElyB
,https://www.youtube.com/watch?v=NiyJgOcBBqo,21,7,070bDNenZlWcjzZGAc2npp
,https://www.youtube.com/watch?v=4RWfSUWVP2I,22,7,6TSM5vkz0WzyZsNAKKYDcw
,https://www.youtube.com/watch?v=4ht80uzIhNs,23,7,0h9SUGpAofhus8HUgNXVwW
,https://www.youtube.com/watch?v=LeiFF0gvqcc,24,7,4jnFqNWeJCeCRHc4HCdxfd
,https://www.youtube.com/watch?v=VUvtlmlBbDg,25,7,3HGE6Is63CrKHS9DZ26RIO
,https://www.youtube.com/watch?v=IXIDl_5XcQw,26,7,3Xtn6ND8fGALF41WWztGF1
,https://www.youtube.com/watch?v=nmZCDBUIzhI,0,8,45SiHmjLBcPWFsNFzB547Y
,https://www.youtube.com/watch?v=VDhfK2EYfeY,1,8,1hkPTehvUqLaidlQUOfDmP
,https://www.youtube.com/watch?v=yV6786cwS-s,2,8,4QySScdQnRDZjDaAdpY0AM
,https://www.youtube.com/watch?v=3gO1aG0gTeI,3,8,3lgG9DGpDpR1VUH9ACi1EE
,https://www.youtube.com/watch?v=fJfuMtK_yug,4,8,3g1ekuXAKuFuEfarqTIxIH
